Location,Workforce,NPS® Breakdown,respid2,NPS_Code,NPSCommentCleaned,NPSCommentLemmatised,NPSCommentPolarity,NPSCommentSubjectivity,OverallCommentCleaned,OverallCommentLemmatised,OverallCommentPolarity,OverallCommentSubjectivity
106,Precinct,Detractor,6985252,0,made an appointment to increase the ram in two of my home computers from to when arrived for my scheduled appointment only was in stock it was installed in one of my computers when came back to pickup the computer it would not boot properly the tech tried to fix the issue but could not he suggested that order life ram for both computers at this point lost faith in his abilities so asked to unwind what had been done the clerk agreed,I made an appointment to increase the RAM in two of my home computers from 8GB to 16GB . When I arrived for my scheduled appointment only 8GB was in stock . It was installed in one of my computers . When I came back to pickup the computer it would not boot properly . The tech tried to fix the issue but could not . He suggested that order life RAM for both computers . At this point I lost faith in his abilities so I asked to unwind what had been done . The clerk agreed.,0.0,0.3666666666666667,made an appointment to increase the ram in two of my home computers from to when arrived for my scheduled appointment only was in stock it was installed in one of my computers when came back to pickup the computer it would not boot properly the tech tried to fix the issue but could not he suggested that order life ram for both computers at this point lost faith in his abilities so asked to unwind what had been done the clerk agreed,I made an appointment to increase the RAM in two of my home computers from 8GB to 16GB . When I arrived for my scheduled appointment only 8GB was in stock . It was installed in one of my computers . When I came back to pickup the computer it would not boot properly . The tech tried to fix the issue but could not . He suggested that order life RAM for both computers . At this point I lost faith in his abilities so I asked to unwind what had been done . The clerk agreed.,0.0,0.3666666666666667
2516,Precinct,Detractor,6985160,0,what was original told would take only couple of days took almost weeks and the computer still has problems,"What I was original told would take only a couple of days, took almost 2 weeks and the computer still has problems.",0.1875,0.875,when check in with the laptop was told it would only take couple of days and it ended up taking all most weeks it was over week before was contacted to receive an excuse about the delay when got the compute home it still has at least one of the original problems plus others and yet it has new hard drive when spoke to them about the continuing and new problems the first appointment they could give to to took at the laptop again is days out this is the very first time have not been completely satisfied with the work of the geek squad,"When I check in with the laptop, I was told it would only take a couple of days and it ended up taking all most 2 weeks . It was over a week before I was contacted to receive an excuse about the delay . When I got the compute home it still has at least one of the original problems plus others, and yet it has a new hard drive . When I spoke to them about the continuing and new problems, the first appointment they could give to to took at the laptop again is 3 days out . This is the very first time I have not been completely satisfied with the work of the geek squad.",0.143732782369146,0.5379476584022038
522,Precinct,Detractor,6984549,0,my email icons were not on my home screen when got home had to use the phone with geek squad to get things working again,My email icons were not on my Home Screen when I got home . I had to use the phone with Geek Squad to get things working again!,0.0,0.0,call me if you want more,Call me if you want more! 218-838-8241,0.5,0.5
805,Precinct,Detractor,6984173,0,went to get screen protector put on my phone the first time there were some bubbles and dust under the protector and the gentleman went and got new protector he went through screen protectors and still have dust and bubbles under the protector,"I went to get a screen protector put on my phone . The first time there were some bubbles and dust under the protector, and the gentleman went and got a new protector . He went through 3 screen protectors and I still have dust and bubbles under the protector",0.1931818181818181,0.3939393939393939,xyxyxz,xyxyxz,0.0,0.0
254,Precinct,Detractor,6983809,0,initially all of the work requested had not been done which no one told me until drove to best buy and read the comments still no one pointed out that the work requested had not been done was very upset that no one could tell me what went on dion sp with the geek squad came to my rescue said he would fix it and it would be done the next day picked up my computer the next day dion had it ready sat down with me to show me the work had been completed and made my experience,"Initially all of the work I requested had not been done which no one told me until I drove to Best Buy and read the comments . Still no one pointed out that the work I requested had not been done . I was very upset that no one could tell me what went on??? Dion (sp?) with the Geek Squad came to my rescue, said he would fix it and it would be done the next day . I picked up my computer the next day, Dion had it ready, sat down with me to show me the work had been completed and made my experience a 10.",0.1777777777777777,0.1984126984126984,dion sp turned very bad experience into,"Dion (sp?) turned a very bad experience into a ""10""!",-0.9099999999999998,0.8666666666666667
1763,Precinct,Detractor,6983768,0,the geeks in the geek squad have grave communication problem and they are not even good at what they do attempted to have my data recovered from my computer paid the was not advised of the data transfer fee to thumb drive texted about two days later to find out the geeks were waiting for power cord thought you were getting it from your supplier after couple texts over the day was finally told they were waiting for me to supply the power cord my cord was fried and doesnt work told them that number of times the geeks in best buy in lady lake are stupid curt and incompetent will never use the geek squad again,"The ""Geeks"" in the geek squad have a grave communication problem and they are not even good at what they do . I attempted to have my data recovered from my computer, paid the $100, was NOT advised of the data transfer fee ($20+ to a thumb drive). I texted about two days later to find out the geeks were waiting for a power cord (I thought you were getting it from your supplier), after a couple texts over the day I was finally told they were waiting for me to supply the power cord (my cord was fried and doesn't work). I told them that a number of times . The geeks in Best Buy in Lady Lake are stupid, curt and incompetent . I will never use the Geek Squad again.",0.0916666666666666,0.5444444444444445,give me back my computer and will go some place else,Give me back my computer and I will go some place else!,0.0,0.0
223,Precinct,Detractor,6983402,0,when purchasing my new laptop and best buy total tech was ensured that the geek squad would be able to help me organize and clean up my mac wanted to make sure that the geek squad was trained in macs as well as pcs the young man who helped me knew nothing about macs dont consider myself tech savvy person but was able to navigate much more fluently than this young man not only was he not able to answer any of my questions or help me with any of my issues but when asked if someone else could help she would just google my question and try to resolve it nothing was resolved and considered returning my computer that had recently purchased very disappointed in the service received the young man told me over and over again im really just not that good at macs etc,"When purchasing my new laptop and Best Buy total tech, I was ensured that the Geek Squad would be able to help me organize and ""clean up"" my Mac . I wanted to make sure that the Geek Squad was trained in Macs as well as PCs . The young man who helped me knew nothing about Macs . I don't consider myself a ""tech savvy"" person, but I was able to navigate much more fluently than this young man . Not only was he not able to answer ANY of my questions, or help me with ANY of my issues, but when I asked if someone else could help, she would just google my question and try to resolve it . Nothing was resolved, and I considered returning my computer that I had recently purchased . VERY disappointed in the service I received . The young man told me over and over again ""I'm really just not that good at Macs"". etc ...",0.2045900178253119,0.5702020202020203,xyxyxz,xyxyxz,0.0,0.0
28,Precinct,Detractor,6982708,0,the computer that was supposedly fixed blue screen minutes after got home and had to call the geek squad on the phone and get it repaired again,The computer that was supposedly fixed blue screen 5 minutes after I got home and I had to call the geek squad on the phone and get it repaired again.,0.05,0.15,xyxyxz,xyxyxz,0.0,0.0
390,Precinct,Detractor,6982344,0,my issue was not resolved after explaining the issue over the phone we were assured it could be taken care of but when we got there they were unable to help also the agent who initially tried to help didnt seem very knowledgable he didnt even fully insert the power cord and then didnt understand why the computer wouldnt turn on,"My issue was not resolved . After explaining the issue over the phone, we were assured it could be taken care of, but, when we got there, they were unable to help . Also, the ""agent"" who initially tried to help didn't seem very knowledgable . He didn't even fully insert the power cord and then didn't understand why the computer wouldn't turn on.",-0.0999999999999999,0.2666666666666666,the initial agent wasnt very helpful but he was finally able to go to supervisor or someone else who definitely did have much more knowledge and was more informative they were unable to do anything for us but we went to local computer store that sorted out the issue,"The initial agent wasn't very helpful, but he was finally able to go to a supervisor or someone else who definitely did have much more knowledge and was more informative . They were unable to do anything for us, but we went to a local computer store that sorted out the issue.",0.15,0.365625
143,Precinct,Detractor,6981920,0,the personnel spoke with were very nice but help with an iphone replacement they really even give full diagnosis they referred me to the apple store and was kind of like what am paying yearly for with total tech the other frustrating part was was without phone and still had to make an appointment that was almost hours away only to get told to go somewhere else,"The personnel I spoke with were very nice, but couldn ’ t help with an iPhone replacement . They really couldn ’ t even give a full diagnosis . They referred me to the apple store, and I was kind of like what am I paying yearly for with Total Tech? The other frustrating part was I was without a phone and still had to make an appointment that was almost 24 hours away only to get told to go somewhere else.",0.175625,0.709375,the personnel spoke with were very nice but help with an iphone replacement they really even give full diagnosis they referred me to the apple store and was kind of like what am paying yearly for with total tech,"The personnel I spoke with were very nice, but couldn ’ t help with an iPhone replacement . They really couldn ’ t even give a full diagnosis . They referred me to the apple store, and I was kind of like what am I paying yearly for with Total Tech?",0.386,0.6799999999999999
