Location,Workforce,NPS® Breakdown,respid2,NPS_Code,NPSCommentCleaned,NPSCommentLemmatised,NPSCommentPolarity,NPSCommentSubjectivity,OverallCommentCleaned,OverallCommentLemmatised,OverallCommentPolarity,OverallCommentSubjectivity
1492,Precinct,Detractor,6981758,0,thought it shoddy that even though am total tech customer the only way my computer would be looked at is if continuously have more and more money you would not even wipe hard drive without another shoddy,I Thought it shoddy that even though I am a total tech customer The only way My computer would be looked at is if I continuously have more and more money . You would not even wipe hard drive without another 40.00 . Shoddy,0.0154761904761904,0.613095238095238,have decided not to renew total tech additionally have zero plans to buy from best buy again,I have decided not to renew total tech . Additionally I have zero plans to buy from Best Buy again,0.5,0.525
1503,Precinct,Detractor,6979722,0,both technicians including the supervisor lied to me by telling me that they removed hard drive that was failing made them put it back in and it works just fine and got checked out by dell tech support to confirm same was told that they would move and install windows pro on the new ssd drive that they were to add and they told me that they would not need to wipe the old drive in the computer well they installed windows not pro and they had to do that again they also wiped the old hard drive completely so second neither of them apologized for their incompetence and irresponsibility this leaves me with very little confidence as to the quality of your technicians and how dependable anything they say might be this as gross negligence irresponsibility incompetence and malfeasance wrote down both of their names just do not have the paper with me at the moment call me if you need their names,"Both technicians, including the supervisor lied to me by telling me that they removed a hard drive that was failing . I made them put it back in and it works just fine and got checked out by Dell tech support to confirm same . 2 . I was told that they would move and install Windows 11 Pro on the new SSD drive that they were to add and they told me that they would NOT need to wipe the old drive in the computer . Well, they installed Windows 11 not PRO and they had to do that again . They also wiped the old hard drive completely . So, second lie ..... 3 . Neither of them apologized for their incompetence and irresponsibility . This leaves me with very little confidence as to the quality of your technicians and how dependable anything they say might be . This as gross negligence, irresponsibility, incompetence, and malfeasance . I wrote down both of their names - just do not have the paper with me at the moment . Call me if you need their names . 786-592-1868",-0.0191340488215488,0.291813973063973,see the first box of text this was basically one totally screwed up service experience agents were totally incompetent unable to follow directions requested and then they lied about what was going on claimed hard drive failed which it did not and put on the wrong version of the operating system and did not retain other programs and data on the original drive when they installed operating software on the hard drive that they were given to install,"See the first box of text . This was basically one totally screwed up service experience . Agents were totally incompetent, unable to follow directions requested, and then they lied about what was going on, claimed a hard drive failed (which it did not), and put on the wrong version of the operating system, and did not retain other programs and data on the original drive when they installed operating software on the 2nd hard drive that they were given to install.",-0.1933333333333333,0.5358333333333334
845,Precinct,Detractor,6977887,0,because brought my computer to fix certain problem and they did not fix so all they did was put new hard drive and clean some dust but did not fix the problem wanted to get resolved finally found the problem and fix it myself,"Because I brought my computer to fix a certain problem and they did not fix . So all they did was put a new hard drive and clean some dust, but did not fix the problem I wanted to get resolved . I finally found the problem and fix it myself.",0.0851298701298701,0.6535281385281386,they still need more knowledge to work on computers all can say is the geek was very nice,They still need more knowledge to work on computers . All I can say is the geek was very nice.,0.64,0.75
269,Precinct,Detractor,6975084,0,my computer is running better but not great after the first team member telling me that needed new hard drive it turned out that most of the problem was piece of software that didnt want didnt intentionall install and didnt use was the root of the problem,"My computer is running better but not great . After the first team member telling me that I needed a new hard drive, it turned out that most of the problem was a piece of software that I didn't want, didn't intentionall install, and didn't use was the root of the problem.",0.1157828282828282,0.5132575757575757,xyxyxz,xyxyxz,0.0,0.0
431,Precinct,Detractor,6970467,0,geek squad did not know how to restore my data from an external hard drive when it was finally restored the format was wrong with some files duplicated also there were delays in getting this done,"Geek Squad did not know how to restore my data from an external hard drive . When it was finally restored, the format was wrong with some files duplicated . Also, there were delays in getting this done.",-0.1979166666666666,0.6354166666666666,xyxyxz,xyxyxz,0.0,0.0
1409,Precinct,Detractor,6969537,0,poor service poor communication geek squad does not know how to transfer data to additional hard drive gave them so purchased new hard drive at your facility they gave me price of but when picked up my computer they now say owe an additional no phone or in person authorization was given from me someone wrote on their copy owes it does not who wrote this the date that it happened the time of day that it was supposedly authorized and did not state what phone number was used if any want my refunded your customer service sucks and is almost non existant will never buy from your company again,"Poor service, poor communication, Geek Squad does not know how to transfer data to 5 additional hard drive I gave them . So I purchased 1 new hard drive at your facility, they gave me a price of $99.00 but when I picked up my computer, they now say I owe an additional $50.00 . No phone or in person authorization was given from me . Someone wrote on their copy owes $50.00 it does not who wrote this, the date that it happened, the time of day that it was supposedly authorized and did not state what phone number was used, if any? I want my $50.00 refunded . your customer service sucks and is almost non existant . I Will never buy from your company again!",-0.2578282828282828,0.5063131313131313,your members need serious customer skills training if your team members want to charge extra they need to let the customer know and to correctly document that additional authorization on the invoice not have customers get last second supprise and piss them off further if you care about this sinking company someone needs to put in the effort to address these problems there are to many other companies to do buisiness with that treat there customers with more value than best buy has for me,"Your members need serious customer skills training . If your team members want to charge extra they need to let the customer know and to correctly document that additional authorization on the Invoice . Not have customers get a last second supprise and piss them off further . If you care about this sinking company, someone needs to put in the effort to address these problems . There are to many other companies to do buisiness with that treat there customers with more value than Best Buy has for me.",0.1712962962962963,0.3342592592592592
401,Precinct,Detractor,6943983,0,because was told over the phone after asked if they provide this service they do drove out of my area to this location and they said they could not provide the service and that the rep was incorrect and does that all the time wanted my iphone pics and vids put on external hard drive they said at the store they do not do that would have never made the appointment if knew that,"Because I was told over the phone after I asked if they provide this service they do, drove out of my area to this location and they said they could not provide the service . And that the rep was incorrect and does that all the time . (I wanted my iPhone pics and vids put on a external hard drive) they said at the store they do not do that . I would have never made the appointment if I knew that.",-0.1458333333333333,0.3208333333333333,from the techs remarks this happens lot schedule service they provide extremely dissatisfied,"From the techs remarks, this happens a lot . Schedule a service they don ’ t provide . Extremely dissatisfied.",-0.125,1.0
1156,Precinct,Detractor,6941777,0,the geek squad agent was not helpful admitted to me he knew nothing about how to transfer my photos to an external hard drive after had already traveled mins to your location was not happy about the experience,The geek squad agent was not helpful . admitted to me he knew nothing about how to transfer my photos to an external hard drive after I had already traveled 45 mins . to your location . I was not happy about the experience.,-0.2305555555555555,0.5472222222222222,the agent was not willing to try to adjust for the job at hand even though wrote summary of what was needed when made the scheduled appointment not happy at all,"the agent was not willing to try to adjust for the job at hand, even though I wrote a summary of what was needed when I made the scheduled appointment . not happy at all.",-0.2625,0.875
258,Precinct,Detractor,6941479,0,it took three diagnostic tests to finally determine the problem with my laptop was assured all would be copied to the new hard drive that did not happen and they said they tried though,"It took three diagnostic tests to finally determine the problem with my laptop . I was assured all would be copied to the new hard drive . That did not happen, and they said they tried, though.",-0.0517676767676767,0.6654040404040403,laptop brought in on thursday diagnostic run told there was nothing found insisted it be run again second diagnostic with different agent nothing found insisted it be run again third diagnostic with different agent he showed me the message on the laptop saying it had failed recommended changing the hard drive to ssa instead of replacing the optane drive agreed with the change and purchased hard drive compound was put in to avoid overheating hopefully hard drive per agent was unable to be copied when picked it up sat with the fourth agent to get things back as they were the font is still incorrect and he couldnt fix that things are not as they were have worked hours to try and get things back as they were,"Laptop brought in on a Thursday . Diagnostic run . Told there was nothing found . I insisted it be run again . Second diagnostic with a different agent, nothing found . I insisted it be run again . Third diagnostic with a different agent, he showed me the message on the laptop saying it had failed . Recommended changing the hard drive to SSA instead of replacing the Optane drive . I agreed with the change and purchased a hard drive . Compound was put in to avoid overheating, hopefully . Hard drive, per agent, was unable to be copied . When I picked it up, I sat with the fourth agent to get things back as they were . The font is still incorrect, and he couldn't fix that . Things are not as they were . I have worked hours to try and get things back as they were.",-0.15625,0.3020833333333333
2501,Precinct,Detractor,6937790,0,just took in my laptop and had new hard drive put in when got it back lot of the keys wont work they all worked before took it in to be serviced,I just took in my laptop and had a new hard drive put in when I got it back a lot of the keys won't work . They all worked before I took it in to be serviced.,-0.0517676767676767,0.332070707070707,since my keyboard worked before took it in think their should have been some responsibility on geek squad to fix the key board,Since my keyboard worked before I took it in I think their should have been some responsibility on Geek Squad to fix the key board.,0.0,1.0
411,Precinct,Detractor,6935131,0,because the data transfer did not work the tech copied and pasted pathway to the old hard drive which when it is disconnected to the laptop did not transfer the data at all,"Because the data transfer did not work . The tech copied and pasted a pathway to the old hard drive, which when it is disconnected to the laptop did not transfer the data at all.",-0.0958333333333333,0.3708333333333333,do it right the time or dont do it at all had to it fixed by somebody else gs has no accountability or quality check to ensure requested paid for service was done right,Do it right the 1st time or don't do it at all . I had to it fixed by somebody else G.S . has no accountability or quality check to ensure requested (& paid for) service was done right.,0.2238095238095238,0.4238095238095238
1436,Precinct,Detractor,6933208,0,because made it clear during my initial visit that only want it to repair it to not lose my photos as have second working laptop at home the geek squad agent called to tell me needed new hard drive and agreed go to pick up my laptop and then found out that my data on old hard drive be salvaged this made me very upset to pay for new hard drive when all wanted was to salvage photos that are sentimental to me from the old hard drive,Because I made it clear during my initial visit that I only want it to repair it to not lose my photos as I have a second working laptop at home . The geek squad agent called to tell me I needed a new hard drive and I agreed . I go to pick up my laptop and then found out that my data on old hard drive couldn ’ t be salvaged . This made me very upset to pay $100 for a new hard drive when all I wanted was to salvage photos that are sentimental to me from the old hard drive.,-0.045995670995671,0.4399350649350649,my geek squad in the past has been excellent this time around would have preferred the agent would have said that it needed new hard drive and that they salvage the old hard drive or let me know getting new hard drive guarantee the data or photos on old hard drive,My geek squad in the past has been excellent . This time around I would have preferred the agent would have said that it needed a new hard drive and that they couldn ’ t salvage the old hard drive or let me know getting a new hard drive wouldn ’ t guarantee the data or photos on old hard drive.,0.0056060606060605,0.4725757575757575
210,Precinct,Detractor,6927431,0,paid the for the year and already had to pay over more they had my computer less then day and said my pictures and information couldnt be retrieved without send it out for even more without guaranty that they could do it dont feel that they tried hard enough to deal with my requests lost all the pictures and documents had on this computer granted received the old hard drive back,I paid the $199 For the year and already had to pay over $100 more . They had my computer less then a day and said my pictures and information couldn't be retrieved without send it out for even more $without a guaranty that they could do it . I don't feel that they tried hard enough to deal with my requests . I lost all the pictures and documents I had on this computer . Granted I received the old hard drive back ...,0.04375,0.35625,xyxyxz,xyxyxz,0.0,0.0
1892,Precinct,Detractor,6921939,0,assumed they would set up my computer to run as they have always done have no idea how to set it up have the highest paid yearly thing so am really upset it was not set up when they said needed new hard drive asked would it be ready to use and they said yes it is not,I assumed they would set up my computer to run as they have always done . I have no idea how to set it up . I have the highest paid yearly thing so I am really upset it was not set up when they said I needed a new hard drive . I asked would it be ready to use and they said yes . It is not.,0.0611742424242424,0.4240530303030303,asked for demonstration as they usually do but was told it is ready got no demonstration and cannot use as they failed to set it up,I asked for a demonstration as they usually do but was told it is ready . Got no demonstration and cannot use as they failed to set it up.,-0.1833333333333333,0.35
181,Precinct,Detractor,6921298,0,when brought my computer to be scrubbed they said they couldnt get it to work had just opened it at home to email myself file so in less than minutes its broken then had to go buy new computer and strongly felt like they were holding my old computer and hard drive hostage had to make new appt and told them several times only wanted my family tree information and pictures when turned it on the entire screen was full of folders however no family tree and no pictures also saw the spy reader and site that the scammers used to see my bank accounts took it to another store to try and return it and told him what happened he said they didnt use strong enough power cord to turn on the old computer so im out hundreds of dollars having to buy new computer when picking up the new computer the lady asked different times if wanted to recycle my old computer twice told her no wanted my computer and hard drive back on the third time told her just keep it now the spent on that computer lost out on too they wouldnt let me have my computer back it was the worse experience ever,"When I brought my computer to be scrubbed, they said they couldn't get it to work . I had just opened it at home to email myself a file . So in less than 30 minutes, it's broken? Then I had to go buy a new computer, and I strongly felt like they were holding my old computer and hard drive hostage . Had to make a new appt and I told them several times I only wanted my family tree information and pictures, when I turned it on, the entire screen was full of folders, however, no family tree and no pictures . I also saw the spy reader and site that the scammers used to see my bank accounts . I took it to another store to try and return it, and told him what happened, he said they didn't use a strong enough power cord to turn on the old computer . So I'm out hundreds of dollars having to buy a new computer . When picking up the ""new"" computer, the lady asked 3 different times if I wanted to recycle my old computer, twice I told her NO, I wanted my computer and hard drive back, on the third time, I told her just keep it . Now the $1k I spent on that computer I lost out on too, they wouldn't let me have my computer back, it was the worse experience ever.",0.0171717171717171,0.39207702020202,the employees should learn to use stronger power sources to make sure computer is working properly if customer asks for the property back the employees shouldnt manipulate you into best buy keeping it and if customer is not satisfied they shouldnt be harassed into keeping computer they no longer feel safe having,"The employees should learn to use stronger power sources to make sure a computer is working properly . If a customer asks for the property back, the employees shouldn't manipulate you into Best Buy keeping it . And if a customer is not satisfied, they shouldn't be harassed into keeping a computer they no longer feel safe having.",0.2916666666666667,0.4648148148148148
451,Precinct,Detractor,6921049,0,of our computers needed new hard drive had to order it wait for it to be delivered and then take it in to best buy for the repair to be completed then was not called when it was done had to call and find out that it had been completed and then had to go and pick it up still it was not ready to be used as we had to take it back in to have everything up and running on the computer,"of our computers needed a new hard drive . I had to order it, wait for it to be delivered, and then take it in to Best Buy for the repair to be completed . Then, I was not called when it was done . I had to call and find out that it had been completed and then I had to go and pick it up . Still, it was not ready to be used as we had to take it back in to have everything up and running on the computer.",0.1489393939393939,0.3592424242424242,you need to obtain the parts necessary for the repairs not have the customer get them,"You need to obtain the parts necessary for the repairs, not have the customer get them!",0.0,1.0
836,Precinct,Detractor,6920417,0,total cluster on monday dropped off laptop to have solidstate hard drive installed letting them know would be out of town until sunday on friday received an email that my computer was ready to go on saturday another email telling my file has been closed as the computer was fixed and picked up am still in florida returning on sunday was informed that the computer was still in the backroom and nothing had been done to it the asst store mgr stepped in and assured me that it will be fixed by monday as the clerk was ringing up the bill for the new drive asked him if that was solidstate he was ringing up he corrected his error had not asked would have picked up computer with the wrong size drive the laptop was ready to go on tuesday do not have warm and fuzzy feeling about doing business with best buy in the future,"Total cluster f .... On Monday 5/25 I dropped off a laptop to have a 2T solid-state hard drive installed . Letting them know I would be out of town until Sunday 5/1 . On Friday I received an email that my computer was ready to go . On Saturday another email telling my file has been closed as the computer was fixed and PICKED UP . I am still in Florida . Returning on Sunday I was informed that the computer was still in the backroom and nothing had been done to it . The asst . store mgr . stepped in and assured me that it will be fixed by Monday . As the clerk was ringing up the bill for the new drive, I asked him if that was a solid-state 2T . He was ringing up a 1T, he corrected his error . Had I not asked, I would have picked up a computer with the wrong size drive . The laptop was ready to go on Tuesday . I do not have a warm and fuzzy feeling about doing business with Best Buy in the future.",0.1203914141414141,0.4309343434343434,it was totally disoriented confusion from beginning to end,It was totally disoriented . Confusion from beginning to end.,0.0,0.75
944,Precinct,Detractor,6919816,0,they get my external hard drive programmed to work with my macbook pro after two appoints it still work,They didn ’ t get my external hard drive programmed to work with my MacBook Pro . After two appoints it still doesn ’ t work.,-0.1458333333333333,0.3208333333333333,kind agents seemed to be knowledgeable disappointed with the out come,"Kind agents, seemed to be knowledgeable, disappointed with the out come",-0.075,0.825
793,Precinct,Detractor,6914516,0,they told me all needed was new hard drive cost and that my laptop was great had tech at the house today for different issues only to be told the rest of the system and wires from base to screen have gone bad told to take out the hard drive and throw the computer away,"they told me all I needed was a new hard drive, cost $100.00 and that my laptop was great . Had Tech at the house today for 7 different issues only to be told the rest of the system and wires from base to screen have gone bad . Told to take out the hard drive and throw the computer away!",-0.1433712121212121,0.6943181818181818,would not recommend them to anyone,would not recommend them to anyone.,0.0,0.0
1146,Precinct,Detractor,6902525,0,requested very simple data transfer from my mac to an external hard drive the geek squad rep called me and said it was done specifically asked if it was completed because had such hard time with it she said yea come to find out it completed correctly,I requested a very simple data transfer from my Mac to an external hard drive . The geek squad rep called me and said it was done . I specifically asked if it was completed because I had such a hard time with it . She said yea . Come to find out it wasn ’ t completed correctly.,-0.1166666666666666,0.4295238095238095,xyxyxz,xyxyxz,0.0,0.0
217,Precinct,Detractor,6895232,0,none of the data from my old hard drive was transferred to the new drive,None of the data from my old hard drive was transferred to the new drive,-0.0184343434343434,0.3987373737373738,had new hard drive installed stressed the thing to transfer to the new hard drive this was not done have made follow up appointment,I had a new hard drive installed . I stressed the thing to transfer to the new hard drive . This was not done . I have made a follow up appointment.,-0.0776515151515151,0.4981060606060605
448,Precinct,Detractor,6894050,0,had to go back times in order to resolve problem when went back to pkup laptop no one would assist mehad an appointment then when was leaving three men standing at door who asked for help and told me to just wait hassled me at the door and told me in surly way tohave nice day and laughed they were in their am mid and was in boot hobbling from foot surgery left crying after days called and made another appt to pkup laptop when got there they told me what had to be done it was not fixed and got no call they could have called we could have discussed it over the phone and then picked it up thereby saving me worthless trip now new hard drive was put in at cost to me went home and could not get into any web browsers tried to reup my favorites because all was lost at installation another appt and trip to store would like to have that job where you do the minimum do not apprise the customer of situation or options and not be held accountable also two people called at this location were rude to me on the phone,"I had to go back 5 times in order to resolve problem . When I went back to pkup laptop, no one would assist me (had an appointment). Then when I was leaving three men standing at door who I asked for help and told me to just wait, Hassled me at the door and told me in a surly way to"" have a nice day"" and laughed . They were in their 30s I am mid 70s and was in a boot hobbling from foot surgery . I left crying . After 2 days I called and made another appt to pkup laptop . When I got there, they told me what had to be done, it was not fixed and I got no call . They could have called, we could have discussed it over the phone and then picked it up . Thereby saving me a worthless trip . Now a new hard drive was put in at cost to me, I went home and I could not get into any web browsers . I tried to reup my favorites, because all was lost at installation . Another appt and trip to store . I would like to have that job . Where you do the minimum, do not apprise the customer of situation or options, and not be held accountable . Also, two people I called at this location, were RUDE to me on the phone.",-0.0171085858585858,0.3746843434343434,some of the young men were polite and tried to help most were doing their job by wrote no eye contact as little conversation as possible and tried to shove me out no no one was waiting and store was not busy and there were other guys that could have helped someone if there was anyone not very good experience still have to go back laptop is still not working you tell me should buy my new computer there we have bought computers tvs refrigerator and sound system there so much for sticking by loyal customers be sure to let me know if anything is done about any of this,"Some of the young men were polite and tried to help . Most were doing their job by wrote . No eye contact, as little conversation as possible and tried to shove me out . No no one was waiting and store was not busy and there were 3 other guys that could have helped someone IF there was anyone . Not a very good experience . I still have to go back . Laptop is still not working . You tell me should I buy my new computer there? We have bought 2 computers 4 TV's a Refrigerator and sound system there . So much for sticking by loyal customers . Be sure to let me know if anything is done about any of this.",0.1183050923435538,0.4856389337158568
378,Precinct,Detractor,6888904,0,they didnt solve my problem of the auto restart of my comp plus they instaled new hard drive that didnt really need,"They didn't solve my problem of the auto restart of my comp . Plus, they instaled a new hard drive that I didn't really need.",0.0148989898989898,0.3987373737373736,my problem was not corrected at the time of my appointment had to call dell spoke to their tech and he solved the problem by taking over my machine and within minuets had the problen corrected it had nothing to do with my hard drive,"My problem was not corrected at the time of my appointment . I had to call Dell, spoke to their tech and he solved the problem, by taking over my machine, and within 20 minuets had the problen corrected . It had nothing to do with my hard drive.",-0.2916666666666667,0.5416666666666666
891,Precinct,Detractor,6877852,0,took my computer in because it was having problems they told me needed new hard drive and some other things had it installed and paid then picked it up the next day the next day it would not work so took it back and was told needed new battery which they do not thrilled with them,"I took my computer in because it was having problems .. They told me I needed a new hard drive and some other things . I had it installed, and paid $300.00 . Then picked it up the next day .. The next day it would not work so I took it back and was told I needed a new battery which they couldn ’ t do . Not thrilled with them.",-0.0554924242424242,0.3157196969696969,think they should have known about the battery,I think they should have known about the battery,0.0,0.0
150,Precinct,Detractor,6874505,0,agents did do anything but screw my laptop up more used my external hard drive thats for windows so trouble shooters dont work on my windows ten after agent left session end up with black screen asking for administrative or power on password when put it in get error codes,Agents did do anything but screw my laptop up more . Used my external hard drive that's for window's 7 & 8 so trouble shooters don't work on my windows ten . After agent left session . I end up with a black screen asking for administrative or power on password . When I put it in get error codes,-0.0226190476190476,0.2535714285714285,this us bullshit im total support customer expect my laptop to be repaired correctly which was not done wiped out all of my documents and still cant get past the black screen to get into windows,This us bullshit! I'm a total support customer . I expect my laptop to be repaired correctly which was not done! Wiped out all of my documents and I still can't get past the black screen to get into windows!,-0.1388888888888888,0.4777777777777778
357,Precinct,Detractor,6867763,0,joey helped me when first walked in and explained how they could get the files off of my computer that would not turn on had deadline to get some files to my coworkers and joey was very patient and calmed me down he explained all the options chose to get the specific files in minutes and then have them get the rest of the files off which would take longer got the important files in minutes and was able to get them to my however the half of the request was very unsatisfactory we gave them an external drive to put the files on and they were unable to use it seems they didnt push button necessary to turn it on they rushed to get me the files before closing because the next day was easter really appreciated that and the sold me thumb drive to put the files on since they couldnt figure out the external hard drive so get home put the thumb drive into my other computer and there are none of my files only weird shortcuts and admin files had folders on the desktop filled with files and none of that was on the drive paid for only sets of files for my coworkers and after hours with my computer none of the rest of my files highly disappointed kept trying on sunday and monday to get the computer to turn on finally monday afternoon it turned on quickly downloaded my files onto the thumb drive they were there and easily accessible why your technical experts couldnt download them for me is beyond my understanding have other very old laptops that was going to bring in but now worry that wont get any files off of them at this point would only partially recommend this service because got the critical files but they messed up big time on getting my personal files off the desktop,"Joey helped me when I first walked in and explained how they could get the files off of my computer that would not turn on . I had a deadline to get some files to my coworkers and Joey was very patient and calmed me down . He explained all the options . I chose to get the specific files in 30 minutes and then have them get the rest of the files off which would take longer . I got the important files in 30 minutes and was able to get them to my However the 2nd half of the request was very unsatisfactory . We gave them an external drive to put the files on and they were unable to use it, seems they didn't push a button necessary to turn it on . They rushed to get me the files before closing because the next day was Easter . I really appreciated that and the sold me a thumb drive to put the files on since they couldn't figure out the external hard drive . So I get home, put the thumb drive into my other computer and there are none of my files . Only weird shortcuts and admin files . I had 4 folders on the desktop filled with files and none of that was on the drive . I paid $216 for only 1 sets of files for my coworkers and after 8 hours with my computer none of the rest of my files .... highly disappointed!!! I kept trying on Sunday and Monday to get the computer to turn on . Finally Monday afternoon it turned on . I quickly downloaded my files onto the thumb drive . They were there and easily accessible, why your ""technical experts"" couldn't download them for me is beyond my understanding . I have 2 other very old laptops that I was going to bring in but now I worry that I won't get any files off of them . At this point I would only partially recommend this service because I got the critical files but they messed up big time on getting my personal files off the desktop.",0.0085763888888888,0.4879861111111111,xyxyxz,xyxyxz,0.0,0.0
419,Precinct,Detractor,6843783,0,think could have been more disappointed bought new allinone computer along with an external hard drive since have totaltech service requested that the geek squad transfer the data from my old allinone to the external hard drive made sure to tell the person who checked me in that had created my own folder structure on the drive so they would copy everything onto the new external drive they copied the users folder and only one folder from the drive unfortunately they missed large number of other folders that contained years of work and letters when picked up the new computer know that these folders were missed so requested that the old computer be recycled two days later when discovered what was missing it was too late the drive was already wiped and the old computer was already recycled everything that the neglected to copy was permanently lost,"I don ’ t think I could have been more disappointed . I bought a new all-in-one computer along with an external hard drive . Since I have TotalTech service, I requested that the Geek Squad transfer the data from my old all-in-one to the external hard drive . I made sure to tell the person who checked me in that I had created my own folder structure on the C Drive so they would copy everything onto the new external drive . They copied the users folder and only one folder from the C Drive . Unfortunately, they missed a large number of other folders that contained years of work and letters . When I picked up the new computer, I didn ’ t know that these folders were missed so I requested that the old computer be recycled . Two days later when I discovered what was missing, it was too late . The drive was already wiped and the old computer was already recycled . Everything that the neglected to copy was PERMANENTLY lost.",0.0029565131837859,0.4517922733831824,think my first comment explained the circumstances that underlie my dissatisfaction disappointed that the staff did not take the time to listen to my original request and appalled that the the does not account for situations where user has created hisher own folder structure,I think my first comment explained the circumstances that underlie my dissatisfaction . I ’ m disappointed that the staff did not take the time to listen to my original request and appalled that the the “ standard transfer ” does not account for situations where a user has created his/her own folder structure.,-0.065,0.7666666666666666
798,Precinct,Detractor,6841397,0,geeks destroyed computer brought in to have the hard drive replaced could have done it at home,"geeks destroyed a computer I brought in, to have the hard drive replaced . Could have done it at home.",-0.2916666666666667,0.5416666666666666,ill save it for posting where the public will see it,"I'll save it, for posting where the public will see it.",-0.25,0.5333333333333333
1463,Precinct,Detractor,6830996,0,had hard drive replaced and after work with phone team different times and then going back to store with old hard drive they were finally able to restore outlook calendar and contact which was forgotten on transfer of data from old drive to new,Had hard drive replaced and after work with phone team 3 different times and then going back to store with old hard drive they were finally able to restore outlook calendar and contact which was forgotten on transfer of data from old drive to new,0.0316287878787878,0.3953598484848485,xyxyxz,xyxyxz,0.0,0.0
499,Precinct,Detractor,6829841,0,was told that once they put in the new hard drive they would reload all the stuff they had backed up onto my external hard drive and they did not do it at all am not even sure if they backed up all the stuff on my original hard drive so they could re install it to the new one very disappointed could have done it myself if they were not going to do the back up and re install,I was told that once they put in the new hard drive they would reload all the stuff they had backed up onto my external hard drive and they did not do it at all . I am not even sure if they backed up all the stuff on my original hard drive so they could re install it to the new one . Very disappointed . I could have done it myself if they were not going to do the back up and re install.,-0.0702272727272727,0.5247979797979797,xyxyxz,xyxyxz,0.0,0.0
2506,Precinct,Detractor,6825140,0,did not receive what was told was getting when dropped off laptop for repair agent said they would cleanbackupand install new hard drive but when picked it up found out they did not install new hard drive and it is still very slow and sending same codes as before this is very frustrating,Did not receive what I was told I was getting when I dropped off laptop for repair . Agent said they would clean/backup/and install new hard drive but when I picked it up I found out they did not install new hard drive and it is still very slow and sending same codes as before . This is very frustrating!,-0.1743722943722943,0.5196320346320346,very disappointed hate when am told one thing and then find out not what was done,Very disappointed - I hate when I am told one thing and then find out that ’ s NOT what was done.,-0.8875000000000001,0.9375
