Location,Workforce,NPS® Breakdown,respid2,NPS_Code,NPSCommentCleaned,NPSCommentLemmatised,NPSCommentPolarity,NPSCommentSubjectivity,OverallCommentCleaned,OverallCommentLemmatised,OverallCommentPolarity,OverallCommentSubjectivity
452,Precinct,Passive,7019066,1,mostly dont know many people locallly might,Mostly don't know many people locallly where it might come up .....,0.5,0.5,this was the first time id used the instore service worked well previously had inhome service necessary for the printer but took long time to get the appointment for my computer day turn around for instore service much more reasonable timeframe,"This was the first time I'd used the in-store service; worked well . Previously I had in-home service, necessary for the printer, but took a long time to get the appointment for my computer . 2 day turn around for in-store service,, much more reasonable timeframe.",0.1222222222222222,0.5
39,Precinct,Passive,7019048,1,love,i love it,0.5,0.6,they stand behind their wordsrespectfully,they stand behind their words.Respectfully,-0.4,0.7
1776,Precinct,Passive,7019030,1,extremely happy explanation work done laptop,I was extremely happy with the explanation of the work that was done on my laptop.,0.8,1.0,felt that the geek squad clerk was very knowledgeable about what was wrong with my laptop,I felt that the geek squad clerk was very knowledgeable about what was wrong with my laptop.,-0.15,0.6
475,Precinct,Passive,7018991,1,making appointment online via phone well,making an appointment should be online and via phone as well,0.0,0.0,appointments need to be longer than minutes,appointments need to be longer than 20 minutes,0.0,0.0
226,Precinct,Passive,7018916,1,still gotten device back,I still have not gotten my Device back,0.0,0.0,the updates are very vague and not really helpful,The updates are very vague and not really helpful,-0.375,0.425
122,Precinct,Passive,7018848,1,past experience,past experience,-0.25,0.25,xyxyxz,xyxyxz,0.0,0.0
1019,Precinct,Passive,7018687,1,old laptop back got back like new,I have old laptop back in 2013 got back again like new!,0.059090909090909,0.1636363636363636,best buy is good place shop and service,best buy is good place shop and service,0.85,0.45
254,Precinct,Passive,7018450,1,competent employees,Competent employees,0.5,0.6666666666666666,long wait minutes wait,"Long wait, (40) minutes wait",-0.05,0.4
434,Precinct,Passive,7018430,1,great employees bad experience corporate setting appointment,"Great service from the employees, had a bad experience with corporate setting up an appointment",0.0333333333333334,0.4722222222222221,corporate made an appointment for me on may at in roanoke got to the appointment only to find out that the battery needed was not in stock and had to make the round trip second time with gas prices being what they are,"Corporate made an appointment for me on May 20, 2022 at 3:40 in Roanoke . Got to the appointment only to find out that the battery I needed was not in stock and had to make the 160 round trip a second time with gas prices being what they are.",-0.05,0.35
1499,Precinct,Passive,7018410,1,anxiety technically smart enough understand needs done,It ’ s the anxiety of it all when your not technically smart enough to understand What needs to be done!,-0.0535714285714285,0.5714285714285714,good as far as know really had chance to explore the effectual changes yet,Good as far as I know! Haven ’ t really had a chance to explore the effectual changes yet,0.3333333333333333,0.6
253,Precinct,Passive,7018360,1,product get fixed came new problem camera working images blurry,My product did get fixed but came with a new problem of the camera not working all the images are blurry.,0.1181818181818181,0.3272727272727272,sent in tablet for screen repair and when received it back the screen was repaired but now the camera doesnt work and its blurry to take photos and dont believe the camera was damaged when sent for repairs because there are pictures from before being sent in that are clear,I sent in a tablet for screen repair and when I received it back the screen was repaired but now the camera doesn't work and it's blurry to take photos . And I don't believe the camera was damaged when sent for repairs because there are pictures from before being sent in that are clear.,0.05,0.1916666666666666
318,Precinct,Passive,7018348,1,good,Service was very very good.,0.91,0.7800000000000001,the virus scan should be explained,The virus scan should be explained.,0.0,0.0
435,Precinct,Passive,7018295,1,ok tried different options work,"They were OK, they tried different options that didn ’ t work.",0.25,0.55,they installed the wrong operating system the first time,They installed the wrong operating system the first time.,-0.125,0.6166666666666667
210,Precinct,Passive,7018204,1,professional knowledgeable misplace plug new computer found minutes later otherwise great always goto store,Very professional and knowledgeable they did misplace my plug for the new computer but they found it about 15 minutes later otherwise it was great service always my go-to store.,0.2665909090909091,0.3336363636363636,xyxyxz,xyxyxz,0.0,0.0
1534,Precinct,Passive,7018159,1,work expectations,Work met my expectations.,0.0,0.0,xyxyxz,xyxyxz,0.0,0.0
1130,Precinct,Passive,7018121,1,people nice every time go including weekends staffed person check lane crossed trained help worst front uncomfortable square customers even basic questions seem avoid attempt flag help retrieving sole person working area spent years retail trust say cross train cashiers increasing job opportunities overall job satisfaction therefore helping support simpler tasks like runner filing paperwork etc,"The people have been very nice but every time I go (including the weekends) they are staffed with only one person and no one at the check lane is crossed trained to help . What ’ s worst the front end is so uncomfortable with Geek square customers that they won ’ t even take very basic customer questions and seem to avoid any attempt to flag them over for help retrieving the one sole person working the area . I spent 14 years in retail but trust me when I say, cross train your cashiers (increasing job opportunities and overall job satisfaction) and therefore helping to support simpler tasks like being a runner or filing paperwork, etc.",-0.0911111111111111,0.5013888888888888,get more staff and automate your customer tracking and updates for in store shop options for me had no choice but to shop to store due to the product was told as such called back times asking for updates noting each time did the product was in being an essential product my cell phone but no could help me on how ti get it any sooner than the one guy working there terrible customer exp,Get more staff and automate your customer tracking and updates for in store shop options . For me I had no choice but to shop to store due to the product I was told . As such I called back 3 times asking for updates noting each time I did the product was in (being an essential product my cell phone!) but no could help me on how ti get it any sooner than the one guy working there . Terrible customer exp,-0.1041666666666666,0.4458333333333333
110,Precinct,Passive,7018072,1,appointment wait line long time got help,I had an appointment but had to wait in line for a long time before I got help.,-0.05,0.4,best buy geek squad need more helpers to service customers they also should have separate lines for people with appointments and walkins,Best Buy Geek Squad need more helpers to service customers . They also should have separate lines for people with appointments and walk-ins.,0.75,0.4
762,Precinct,Passive,7017961,1,first visit given incorrect information,First visit I was given incorrect information,0.25,0.3333333333333333,xyxyxz,xyxyxz,0.0,0.0
160,Precinct,Passive,7017929,1,would given happy checking consulting problem correcting issues less hours promised however scheduling time pick device waited minutes talk associate worked another returning product exchange nongeek members could handled exchange apparently member needed handle pick explain repairs guy,"I would have given them a 10 because I was happy with the service checking in, consulting about the problem and them correcting the issues in less than the 48 hours promised . However after scheduling a time to pick up my device, I waited for 35 minutes to talk with an associate while he worked with another customer returning a product for an exchange . There were other non-Geek Squad service members there that could have handled the exchange, but apparently the only Geek Squad member that needed to handle my pick up and explain the repairs was this guy.",0.1116666666666666,0.5583333333333333,xyxyxz,xyxyxz,0.0,0.0
410,Precinct,Passive,7017897,1,everyone really friendly professional took longer expected,Everyone was really friendly and professional but it took longer than I expected.,0.125,0.3333333333333333,xyxyxz,xyxyxz,0.0,0.0
1086,Precinct,Passive,7017853,1,good work necessary wait days,Very good work but it was necessary to wait a few days.,0.2366666666666666,0.6266666666666668,xyxyxz,xyxyxz,0.0,0.0
1018,Precinct,Passive,7017845,1,went renew account repair services put husbands brand new ipad air back account stated returned possible hands ipad generation ipad turned repairs get anything set cell phone used,"Because when I went to renew my account repair services, they didn ’ t put my husbands brand new iPad Air back on my account . They stated that it was returned, only that ’ s not possible because we have it in our hands . Our iPad 6th generation iPad was turned in for repairs, but we can ’ t get anything set up because we don ’ t have a cell phone to be used for it.",0.034090909090909,0.6136363636363636,xyxyxz,xyxyxz,0.0,0.0
305,Precinct,Passive,7017769,1,guy friendly knowledgeable,Guy was friendly and knowledgeable,0.375,0.5,xyxyxz,xyxyxz,0.0,0.0
527,Precinct,Passive,7017743,1,problems agents friendly helpful,I had no problems and agents were friendly and helpful,0.375,0.5,xyxyxz,xyxyxz,0.0,0.0
1266,Precinct,Passive,7017654,1,good job wait long,a good job didn ’ t have to wait too long,0.3249999999999999,0.5,xyxyxz,xyxyxz,0.0,0.0
1121,Precinct,Passive,7017610,1,good,Good service,0.7,0.6000000000000001,xyxyxz,xyxyxz,0.0,0.0
1425,Precinct,Passive,7017433,1,lovely people took good good speed,Lovely people who took good care of me with good speed!,0.6333333333333333,0.65,the first time they fixed my computer they forgot to consolidate the storage they fixed it as soon as brought it back to them,The first time they fixed my computer they forgot to consolidate the storage . They fixed it as soon as I brought it back to them!,0.1124999999999999,0.1833333333333333
395,Precinct,Passive,7017430,1,perfectbut help,was not perfect .... but they do have more help now,0.5,0.5,took my computer in and was told it had driver issuesso needed new computerfinally found computer but it had to be delivered to my house the next day so told scott about the problem with not getting time on delivery scott told me to just come back to drop off the new computer when it came showed up with the new computer and darrin ask if had an appointment and told him did not and why they were transferring the data from the old computer to the new one for me darrin was so rude and ask did you cut in line in front of the other person in line told him waited in line yesterday he insisted go to the end of the line and wait my turn this really was demeaning and degrading to me as an older woman felt he was rude and disrespectful on so many levels he was nicer and more accommodating the next day when picked up the new computer but really think he showed his true colors scott was very nice informative and helpful he could not have been more accommodating it ended up ok have my computer,"I took my computer in and was told it had driver issues...So I needed a new computer...Finally found a computer but it had to be delivered to my house the next day, So I told Scott about the problem with not getting a time on delivery . Scott told me to just come back to drop off the new computer when it came . I showed up with the new computer and Darrin ask if I had an appointment and I told him I did not and why . They were transferring the data from the old computer to the new one for me . Darrin was so rude and ask ""DID you cut in line in front of the other person in line"" I told him I waited in line yesterday . He insisted I go to the end of the line and wait my turn . This really was demeaning and degrading to me as an older woman . I felt he was rude and disrespectful on so many levels . He was nicer and more accommodating the next day when I picked up the new computer . But I really think he showed his true colors . Scott was very nice, informative and helpful . He could not have been more accommodating . It ended up ok . I have my computer.",0.1787373737373737,0.4014790764790765
375,Precinct,Passive,7017401,1,sure,not sure,-0.25,0.8888888888888888,appreciated the compassion shown customer who is challenged,"I appreciated the compassion shown a customer who is ""challenged"".",0.2,0.1
164,Precinct,Passive,7017397,1,techs helpful however go thru process quickly lose people trying keep,The techs are helpful however they go thru the process very quickly and lose people trying to keep up.,0.4333333333333333,0.65,staff is very knowledgeable however being older they were way to fast for us to keep up if they could slow down bit for us old folks would be helpful,Staff is very knowledgeable however being older they were way to fast for us to keep up . If they could slow down a bit for us old folks would be helpful!!,0.0351851851851851,0.3537037037037037
534,Precinct,Passive,7017390,1,everything went planned,everything went as planned,0.0,0.0,xyxyxz,xyxyxz,0.0,0.0
1890,Precinct,Passive,7017382,1,good experiences,good experiences,0.7,0.6000000000000001,xyxyxz,xyxyxz,0.0,0.0
534,Precinct,Passive,7017318,1,team worked hard installing software levano purchase best buy,The team worked hard on installing all of my software for my Levano purchase at Best Buy,0.3541666666666666,0.4208333333333333,all good thanks,All good thanks!,0.4499999999999999,0.4
31,Precinct,Passive,7017291,1,quick easy,Quick and easy,0.3833333333333333,0.6666666666666667,xyxyxz,xyxyxz,0.0,0.0
1494,Precinct,Passive,7017285,1,actually job properearly today,They actually did their job proper-early today,0.0,0.1,no,No,0.0,0.0
1021,Precinct,Passive,7017224,1,staff always polite helpful attitude however took days scheduled appointment home appointment best buy san rafael rectification strategy visit followup visit could scheduled days later timing inconvenient work schedule however accepted option home visit scheduled followup visit home visit windows installation computer determined necessary visit could done visit time scheduled chris technician visits extremely helpful able quickly set appointment drive best buysan rafael later afternoon laptop visit received helpful input tyler planned keep computer determine appropriate action thursday received call san rafael technician jeremy installation could carried due unforeseen complications computer jeremy helpful mutually agreed carry proposed work checked computer viruses picked computer thursdaymy visit nothing compliments professionalism helpful attitudes chris tyler jeremy unfortunate work required could determinedaccomplished typical allotted appointment times,"Geek Squad Staff were always polite, with a helpful attitude . However, it took 9 days from my 1st scheduled Geek Squad appointment in my home until the 4th Geek Squad appointment at Best Buy San Rafael to come up with a rectification strategy . After the 1st visit, a follow-up 2nd visit could not be scheduled until 7 days later . This timing was very inconvenient for my work schedule, however I accepted it as no other option . That 2nd home visit was scheduled as a follow-up visit to the 1st home visit . The ""Windows installation"" to my computer which was determined necessary in the 1st visit could not be done in the 2nd visit time scheduled . Chris, the Geek Squad Technician on the 1st & 2nd visits was extremely helpful . He was able to quickly set a 3rd appointment for me to drive to Geek Squad Best Buy/San Rafael later that afternoon to service my laptop . From that 3rd visit, I received helpful input from Tyler, who planned to keep my computer and determine appropriate action to take . On Thursday, I received a call from Geek Squad San Rafael technician Jeremy that the installation could not be carried out due to unforeseen complications with my computer . Jeremy was also very helpful and we mutually agreed to not carry out the proposed work . He checked my computer for viruses, and I picked my computer that Thursday ...... my 4th visit . I have nothing but compliments for the professionalism and helpful attitudes of Chris, Tyler, and Jeremy . But it was unfortunate that the work required could not be determined/accomplished in the ""typical"" allotted appointment times.",0.1249479166666666,0.4921874999999999,as geek squad client it would be desirable if geek squad personnel had the authority while providing onsite inspections to extend their appointment time to solve problems as solutions evolve during said site visitie not just rescheduling for or meeting week later due to lack of sufficient time allowed in that meeting,"As a GEEK SQUAD client, it would be desirable if Geek Squad personnel had the authority (while providing on-site inspections) to extend their appointment time to solve problems as solutions evolve during said site visit ........ i.e . not just rescheduling for a 2nd or 3rd meeting a week later, due to lack of sufficient time allowed in that 1st meeting.",-0.0625,0.1875
